_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold
670454494,FALSE,finalized,3,02/10/15 2:01,"Scarborough, Yorkshire, England, Europe",1,31-Dec-43,1,Multiracial,1,Quaker,1,Straight,1,1983,1,Best Actor,http://www.nndb.com/people/519/000024447/,,,Gandhi,Ben Kingsley,,,,
670454501,FALSE,finalized,3,02/10/15 4:06,"London, Greater London, England, Europe",1,29-Apr-57,1,White,1,Na,1,Straight,1,1990,1,Best Actor,http://www.nndb.com/people/788/000022722/,,,My Left Foot,Daniel Day-Lewis,,,,
670454502,FALSE,finalized,3,02/10/15 1:59,"Cowes, Isle of Wight, England, Europe",1,19-Sep-48,1,White,1,Na,1,Straight,1,1991,1,Best Actor,http://www.nndb.com/people/594/000023525/,,,Reversal of Fortune,Jeremy Irons,,,,
670454503,FALSE,finalized,3,02/10/15 3:51,"Port Talbot, Neath Port Talbot, Wales, Europe",1,31-Dec-37,1,White,1,Na,1,Straight,1,1992,1,Best Actor,http://www.nndb.com/people/005/000023933/,,,Silence of the Lambs,Anthony Hopkins,,,,
670454504,FALSE,finalized,3,02/10/15 3:56,"New York City, Ny, United States, North America",1,25-Apr-40,1,White,1,Roman Catholic,1,Straight,1,1993,1,Best Actor,http://www.nndb.com/people/880/000022814/,,,Scent of a Woman,Al Pacino,,,,
670454508,FALSE,finalized,3,02/10/15 2:08,"Toowoomba, Queensland, Australia, Oceania",1,06-Jul-51,1,White,1,Na,1,Straight,1,1997,1,Best Actor,http://www.nndb.com/people/126/000025051/,,,Shine,Geoffrey Rush,,,,
670454510,FALSE,finalized,3,02/10/15 1:59,"Arezzo, Tuscany, Italy, Europe",1,27-Oct-52,1,White,1,Na,1,Straight,1,1999,1,Best Actor,http://www.nndb.com/people/259/000025184/,,,Life is Beautiful,Roberto Benigni,,,,
670454512,FALSE,finalized,3,02/10/15 4:07,"Strathmore Park, Wellington, New Zealand, Oceania",1,07-Apr-64,1,White,1,Na,0.6562,Straight,1,2001,1,Best Actor,http://www.nndb.com/people/782/000022716/,,,Gladiator,Russell Crowe,,,,
670454519,FALSE,finalized,3,02/10/15 2:07,"London, Greater London, England, Europe",1,29-Apr-57,1,White,1,Na,1,Straight,1,2008,1,Best Actor,http://www.nndb.com/people/788/000022722/,,,There Will Be Blood,Daniel Day-Lewis,,,,
670454522,FALSE,finalized,3,02/10/15 2:19,"Grayshott, Hampshire, England, Europe",1,10-Sep-60,1,White,1,Na,1,Straight,1,2011,1,Best Actor,http://www.nndb.com/people/813/000043684/,,,The King's Speech,Colin Firth,,,,
670454523,FALSE,finalized,3,02/10/15 3:53,"Rueil-Malmaison, Hauts-De-Seine, France, Europe",1,19-Jun-72,1,White,1,Na,1,Straight,1,2012,1,Best Actor,http://www.nndb.com/people/303/000281457/,,,The Artist,Jean Dujardin,,,,
